epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.107,1.69559,2.51107,1.17491,0.26082,0.21991,0.13785,0.06149,1.7466,2.0625,1.25103,0.000368061,0.000368061,0.000368061
2,372.21,1.80455,1.88805,1.26735,0.21188,0.21166,0.17187,0.07828,1.88334,1.91016,1.29956,0.000714028,0.000714028,0.000714028
3,544.802,1.86918,1.86053,1.29311,0.18857,0.23132,0.13125,0.05472,1.89197,1.97851,1.29883,0.00103555,0.00103555,0.00103555
4,1171.61,1.86089,1.76477,1.29001,0.52592,0.26592,0.2134,0.10576,1.76625,1.7818,1.25179,0.00100101,0.00100101,0.00100101
5,1577.23,1.79645,1.68564,1.27504,0.3893,0.20138,0.18567,0.08659,1.77122,1.85375,1.2611,0.000964348,0.000964348,0.000964348
6,1744.72,1.7493,1.62427,1.24326,0.74675,0.24433,0.24291,0.11984,1.69728,1.62626,1.25946,0.000927685,0.000927685,0.000927685
7,2207.93,1.71535,1.58255,1.20908,0.50479,0.2275,0.22483,0.12686,1.63266,1.66331,1.20221,0.000891022,0.000891022,0.000891022
8,2711.31,1.69054,1.52388,1.20792,0.45198,0.30498,0.27104,0.14102,1.67743,1.96315,1.2158,0.000854359,0.000854359,0.000854359
9,3176.73,1.64726,1.46091,1.19338,0.46023,0.30513,0.28061,0.14843,1.59235,1.59531,1.19911,0.000817696,0.000817696,0.000817696
10,3923.94,1.61577,1.42749,1.16944,0.46021,0.34713,0.3224,0.17746,1.59701,1.422,1.16631,0.000781033,0.000781033,0.000781033
11,5547.11,1.61565,1.38424,1.16633,0.47856,0.29863,0.31626,0.1541,1.59094,1.43213,1.1735,0.00074437,0.00074437,0.00074437
12,5716.95,1.55403,1.34672,1.15216,0.43707,0.30325,0.29854,0.16141,1.58238,1.40553,1.16226,0.000707707,0.000707707,0.000707707
13,5883.49,1.54917,1.32412,1.14299,0.4445,0.33758,0.31822,0.17672,1.47731,1.42112,1.12522,0.000671044,0.000671044,0.000671044
14,6051.3,1.50715,1.25558,1.12054,0.50617,0.31951,0.30575,0.16364,1.46222,1.31502,1.12312,0.000634381,0.000634381,0.000634381
15,6218.77,1.48843,1.24488,1.10329,0.55927,0.33338,0.34407,0.18906,1.45998,1.28432,1.11187,0.000597718,0.000597718,0.000597718
16,6384.93,1.47389,1.21022,1.09059,0.49732,0.37585,0.3561,0.19835,1.46468,1.27892,1.11595,0.000561055,0.000561055,0.000561055
17,6552.39,1.46064,1.20112,1.09611,0.6321,0.35365,0.38785,0.22151,1.42692,1.2111,1.1057,0.000524392,0.000524392,0.000524392
18,6720.36,1.43363,1.13961,1.08564,0.55156,0.37644,0.36216,0.20672,1.44222,1.23581,1.10103,0.000487729,0.000487729,0.000487729
19,6889.42,1.40351,1.13299,1.08339,0.51867,0.36003,0.3529,0.19588,1.43187,1.28187,1.10151,0.000451066,0.000451066,0.000451066
20,7061.3,1.41645,1.11381,1.0759,0.57081,0.37817,0.39045,0.20364,1.42744,1.1896,1.0975,0.000414403,0.000414403,0.000414403
21,7264.91,1.38892,1.08205,1.06092,0.60515,0.3297,0.35872,0.20464,1.43325,1.20695,1.08469,0.00037774,0.00037774,0.00037774
22,7501.85,1.36161,1.03967,1.04827,0.55765,0.33547,0.34813,0.19731,1.45028,1.1928,1.09943,0.000341077,0.000341077,0.000341077
23,7665.6,1.35941,1.00663,1.04213,0.568,0.40338,0.41247,0.21276,1.40312,1.15017,1.08891,0.000304414,0.000304414,0.000304414
24,7830.57,1.32819,0.99214,1.02994,0.60088,0.39532,0.41347,0.21926,1.4086,1.13237,1.09475,0.000267751,0.000267751,0.000267751
25,7993.45,1.31942,0.96681,1.02548,0.59926,0.3851,0.41251,0.21405,1.39004,1.09925,1.08684,0.000231088,0.000231088,0.000231088
26,8156.4,1.30219,0.96294,1.02256,0.56267,0.41608,0.41146,0.21962,1.3401,1.11316,1.06327,0.000194425,0.000194425,0.000194425
27,8320.68,1.28209,0.92507,1.00911,0.5977,0.43073,0.44002,0.23336,1.36118,1.11244,1.06578,0.000157762,0.000157762,0.000157762
28,8484.08,1.26006,0.90521,0.99676,0.61029,0.40756,0.4077,0.22474,1.3492,1.10153,1.0686,0.000121099,0.000121099,0.000121099
29,8650.23,1.23481,0.87738,0.99318,0.61195,0.39718,0.39807,0.22521,1.33507,1.0881,1.06358,8.4436e-05,8.4436e-05,8.4436e-05
30,8814.84,1.23117,0.87854,0.9921,0.63319,0.40651,0.42612,0.23557,1.33268,1.05157,1.06525,4.7773e-05,4.7773e-05,4.7773e-05
